,,,,,,,,CoreA,,,CoreB,,,CoreC,,,CoreD,,
SOCVendor,SOCModel,ProductName,ReleaseTime,GPUBrand,GPUModel,GPUCore,GPUFreq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq,Model,Count,Freq
Qualcomm,MSM8994v2,Snapdragon 810,2015,Adreno,430,1,630,,,,,,,A57,4,2,A53,4,1.5
Qualcomm,MSM8994v2.1,Snapdragon 810,2015.2Q,Adreno,430,1,630,,,,,,,A57,4,2,A53,4,1.5
Qualcomm,MSM8996 Lite,Snapdragon 820,2016.1Q,Adreno,530,1,510,,,,,,,Kryo,2,1.804,Kryo,2,1.363
Qualcomm,MSM8996,Snapdragon 820,2015.4Q,Adreno,530,1,624,,,,,,,Kryo,2,2.15,Kryo,2,1.593
Qualcomm,MSM8996 Pro-AB,Snapdragon 821,2016.3Q,Adreno,530,1,624,,,,,,,Kryo,2,2.15,Kryo,2,1.593
Qualcomm,MSM8996 Pro-AC,Snapdragon 821,2016.3Q,Adreno,530,1,653,,,,,,,Kryo,2,2.342,Kryo,2,1.6
Qualcomm,MSM8997,Snapdragon 828,,,,,,,,,,,,,,,,,
Qualcomm,MSM8998,Snapdragon 835,2017.2Q,Adreno,540,1,710,,,,,,,A73,4,2.45,A53,4,1.9
Qualcomm,SDM845,Snapdragon 845,2018.1Q,Adreno,630,1,710,,,,,,,A75,4,2.8,A55,4,1.8
Qualcomm,SM8150,Snapdragon 855,2019.1Q,Adreno,640,1,585,,,,A76,1,2.84,A76,3,2.42,A55,4,1.8
Qualcomm,SM8150-AC,Snapdragon 860,2021.1Q,Adreno,640,1,675,,,,A76,1,2.96,A76,3,2.42,A55,4,1.8
Qualcomm,SM8150P,Snapdragon 855+,2019.3Q,Adreno,640,1,675,,,,A76,1,2.96,A76,3,2.42,A55,4,1.8
Qualcomm,SM8150_Plus,Snapdragon 855+ (7nm),,Adreno,640,1,700,,,,A76,1,2.96,A76,3,2.42,A55,4,1.8
Qualcomm,SM8250,Snapdragon 865,2020.1Q,Adreno,650,1,587,,,,A77,1,2.84,A77,3,2.42,A55,4,1.8
Qualcomm,SM8250-AB,Snapdragon 865+,2020.3Q,Adreno,650,1,670,,,,A77,1,3.1,A77,3,2.42,A55,4,1.8
Qualcomm,SM8250-AC,Snapdragon 870,2021.1Q,Adreno,650,1,670,,,,A77,1,3.2,A77,3,2.42,A55,4,1.8
